file_name,value
0.jpg,True
1.jpg,True
10.jpg,True
10002.jpg,True
10016.jpg,True
10037.jpg,False
10038.jpg,True
10057.jpg,False
10063.jpg,True
10069.jpg,True
10100.jpg,True
10105.jpg,True
10115.jpg,True
10122.jpg,False
10142.jpg,False
1015.jpg,False
10154.jpg,True
10155.jpg,True
10158.jpg,True
1016.jpg,False
10167.jpg,True
10178.jpg,False
1018.jpg,True
10181.jpg,False
10192.jpg,True
10196.jpg,True
10202.jpg,True
10207.jpg,True
10214.jpg,True
10223.jpg,True
10226.jpg,False
10240.jpg,False
10242.jpg,False
10250.jpg,True
10251.jpg,True
10253.jpg,True
10265.jpg,True
10287.jpg,True
10302.jpg,True
10310.jpg,True
10325.jpg,False
10348.jpg,False
10359.jpg,True
10363.jpg,False
10364.jpg,True
10373.jpg,True
10377.jpg,True
10378.jpg,True
10385.jpg,False
10388.jpg,True
1039.jpg,True
10394.jpg,True
10397.jpg,False
10401.jpg,False
10420.jpg,False
10429.jpg,True
10430.jpg,True
10431.jpg,True
10439.jpg,False
10440.jpg,True
10441.jpg,True
10462.jpg,True
10472.jpg,False
10475.jpg,True
10490.jpg,True
10497.jpg,False
1051.jpg,False
10510.jpg,True
10511.jpg,True
10541.jpg,False
10544.jpg,True
10548.jpg,True
10563.jpg,False
10573.jpg,False
10592.jpg,True
10595.jpg,False
10603.jpg,True
10604.jpg,True
1061.jpg,True
10616.jpg,True
10619.jpg,True
10623.jpg,False
10626.jpg,True
10651.jpg,True
10656.jpg,True
1066.jpg,True
10661.jpg,True
10666.jpg,True
10682.jpg,True
10692.jpg,True
107.jpg,True
10714.jpg,False
10716.jpg,True
10726.jpg,True
10729.jpg,True
10771.jpg,True
10785.jpg,True
10786.jpg,True
10790.jpg,True
10805.jpg,False
10812.jpg,True
10814.jpg,False
10819.jpg,False
10821.jpg,False
10831.jpg,True
10851.jpg,False
10874.jpg,True
10889.jpg,True
10890.jpg,True
10894.jpg,True
1090.jpg,True
10900.jpg,True
10904.jpg,False
10907.jpg,True
10908.jpg,True
10913.jpg,False
10915.jpg,False
10918.jpg,True
10925.jpg,False
10928.jpg,False
10939.jpg,False
10942.jpg,False
10947.jpg,True
10959.jpg,True
10961.jpg,True
10965.jpg,False
10973.jpg,True
1098.jpg,True
10984.jpg,True
10988.jpg,False
10989.jpg,True
10994.jpg,True
11004.jpg,True
11008.jpg,True
11011.jpg,True
11014.jpg,True
11018.jpg,True
1102.jpg,False
11042.jpg,True
1105.jpg,True
11053.jpg,False
11060.jpg,True
1108.jpg,True
11083.jpg,False
11102.jpg,True
11109.jpg,False
11113.jpg,False
11117.jpg,False
11118.jpg,True
11151.jpg,True
11153.jpg,True
11174.jpg,True
11181.jpg,True
11190.jpg,True
11205.jpg,True
11206.jpg,True
11215.jpg,True
1122.jpg,False
1123.jpg,True
11235.jpg,False
11258.jpg,True
11267.jpg,True
11268.jpg,True
11274.jpg,False
11286.jpg,False
11289.jpg,False
11301.jpg,False
11315.jpg,True
11325.jpg,True
11377.jpg,True
11379.jpg,False
11385.jpg,True
11386.jpg,True
11389.jpg,True
11403.jpg,True
11410.jpg,True
11411.jpg,True
11420.jpg,False
11426.jpg,True
11432.jpg,False
11449.jpg,True
11458.jpg,True
11460.jpg,True
11464.jpg,True
1147.jpg,False
11474.jpg,False
11475.jpg,True
11480.jpg,True
1150.jpg,True
11534.jpg,True
11537.jpg,True
11545.jpg,True
11548.jpg,True
11550.jpg,True
11557.jpg,True
11571.jpg,True
11572.jpg,False
11577.jpg,True
1158.jpg,True
1160.jpg,True
11606.jpg,False
11607.jpg,True
11617.jpg,True
11623.jpg,True
11641.jpg,True
11644.jpg,False
11645.jpg,False
11647.jpg,True
1166.jpg,True
11669.jpg,False
1168.jpg,False
11688.jpg,True
117.jpg,False
1170.jpg,False
11707.jpg,False
11708.jpg,False
11714.jpg,False
11732.jpg,True
11735.jpg,True
11744.jpg,False
11755.jpg,True
11756.jpg,False
11759.jpg,False
11764.jpg,True
11769.jpg,True
1178.jpg,True
11781.jpg,True
11805.jpg,True
1181.jpg,True
11820.jpg,True
11825.jpg,True
11863.jpg,False
11877.jpg,False
11882.jpg,True
11887.jpg,True
11898.jpg,True
11905.jpg,False
11918.jpg,True
1192.jpg,False
11922.jpg,False
11929.jpg,False
1194.jpg,True
11959.jpg,False
11965.jpg,True
120.jpg,True
1200.jpg,True
12016.jpg,True
12022.jpg,True
12025.jpg,True
12027.jpg,True
12034.jpg,False
1204.jpg,True
12048.jpg,True
12049.jpg,True
12055.jpg,False
12075.jpg,True
1210.jpg,True
1211.jpg,True
12110.jpg,True
12118.jpg,True
12124.jpg,True
1213.jpg,True
12133.jpg,True
12142.jpg,True
12146.jpg,False
12155.jpg,False
1216.jpg,True
12181.jpg,False
12196.jpg,True
12198.jpg,True
122.jpg,False
12203.jpg,True
12206.jpg,True
1221.jpg,True
12211.jpg,True
12213.jpg,True
12218.jpg,False
12222.jpg,False
12231.jpg,True
12235.jpg,True
12249.jpg,False
