file_name,value
10018.jpg,True
10022.jpg,True
10112.jpg,True
10137.jpg,True
10236.jpg,True
10316.jpg,False
10414.jpg,True
10521.jpg,True
10538.jpg,True
10606.jpg,True
10646.jpg,True
10705.jpg,True
1073.jpg,True
10731.jpg,True
10732.jpg,True
1096.jpg,False
11202.jpg,True
11223.jpg,True
11250.jpg,True
11373.jpg,True
11383.jpg,False
11622.jpg,True
11656.jpg,True
11731.jpg,True
11745.jpg,False
11873.jpg,False
11971.jpg,False
12003.jpg,True
12058.jpg,True
12072.jpg,False
12115.jpg,False
12179.jpg,True
12264.jpg,True
12280.jpg,False
12499.jpg,False
12620.jpg,False
1265.jpg,True
1270.jpg,True
12807.jpg,True
12838.jpg,True
12875.jpg,True
12906.jpg,False
1310.jpg,False
13155.jpg,True
13248.jpg,True
13263.jpg,True
13367.jpg,True
13445.jpg,False
13458.jpg,False
13551.jpg,False
13736.jpg,False
13857.jpg,True
14067.jpg,True
14110.jpg,True
14140.jpg,True
14153.jpg,True
14257.jpg,True
14274.jpg,False
14396.jpg,True
14652.jpg,False
14680.jpg,True
14685.jpg,True
14774.jpg,True
14779.jpg,True
14787.jpg,False
14858.jpg,False
14917.jpg,True
14979.jpg,True
15027.jpg,True
15043.jpg,True
15050.jpg,True
15287.jpg,True
15361.jpg,False
1542.jpg,True
15430.jpg,False
15691.jpg,False
15780.jpg,True
15800.jpg,True
15850.jpg,True
15862.jpg,True
16000.jpg,True
16112.jpg,False
16119.jpg,True
16188.jpg,False
1619.jpg,False
16190.jpg,False
16205.jpg,True
16219.jpg,True
16382.jpg,True
16386.jpg,True
16409.jpg,False
16452.jpg,True
16473.jpg,True
16517.jpg,True
16556.jpg,True
16566.jpg,True
16580.jpg,False
16591.jpg,True
1661.jpg,True
16673.jpg,True
16723.jpg,True
16815.jpg,True
16847.jpg,True
16924.jpg,True
16931.jpg,True
16953.jpg,True
17252.jpg,True
17292.jpg,True
17299.jpg,True
17349.jpg,True
17444.jpg,True
17531.jpg,True
17719.jpg,True
17751.jpg,False
1777.jpg,False
17771.jpg,True
17811.jpg,True
17852.jpg,True
17958.jpg,True
17994.jpg,True
18134.jpg,False
18215.jpg,True
18221.jpg,True
18230.jpg,True
18269.jpg,False
18352.jpg,True
18353.jpg,True
18374.jpg,False
18499.jpg,True
18612.jpg,True
18989.jpg,True
19180.jpg,False
19251.jpg,False
19257.jpg,False
19488.jpg,True
19608.jpg,True
19633.jpg,False
1975.jpg,True
19807.jpg,True
19813.jpg,True
19907.jpg,True
19911.jpg,True
19991.jpg,True
20030.jpg,True
2005.jpg,True
20052.jpg,True
20103.jpg,False
20137.jpg,True
20225.jpg,True
20325.jpg,True
20335.jpg,True
20384.jpg,True
20475.jpg,True
20485.jpg,False
20703.jpg,False
20706.jpg,False
20748.jpg,True
20904.jpg,True
21116.jpg,True
21187.jpg,True
21224.jpg,True
21422.jpg,False
21423.jpg,True
2151.jpg,False
21580.jpg,False
21604.jpg,True
21616.jpg,True
2163.jpg,True
21668.jpg,True
21679.jpg,True
21759.jpg,False
21799.jpg,True
21816.jpg,True
22055.jpg,True
22118.jpg,True
22196.jpg,True
22630.jpg,True
22746.jpg,False
22749.jpg,False
23025.jpg,True
23123.jpg,True
2321.jpg,True
23237.jpg,True
23613.jpg,True
23660.jpg,True
23683.jpg,True
23698.jpg,True
23701.jpg,True
2389.jpg,True
23898.jpg,True
23967.jpg,True
23982.jpg,True
24042.jpg,False
24114.jpg,True
24155.jpg,True
2419.jpg,True
24431.jpg,True
24461.jpg,True
24576.jpg,True
24634.jpg,True
24639.jpg,True
24870.jpg,True
24950.jpg,True
24955.jpg,True
25092.jpg,False
25095.jpg,True
25161.jpg,True
25238.jpg,True
25329.jpg,True
25419.jpg,False
2542.jpg,True
25607.jpg,True
25657.jpg,True
25717.jpg,True
25749.jpg,True
25847.jpg,True
25955.jpg,False
26002.jpg,False
2625.jpg,False
26324.jpg,True
26325.jpg,True
26327.jpg,False
26480.jpg,False
26489.jpg,True
26499.jpg,True
26544.jpg,True
26795.jpg,True
26822.jpg,True
26857.jpg,True
26864.jpg,True
26879.jpg,True
26941.jpg,True
2695.jpg,True
26984.jpg,True
27201.jpg,True
27244.jpg,True
2746.jpg,True
27765.jpg,True
27771.jpg,True
2787.jpg,True
27881.jpg,True
27894.jpg,True
27925.jpg,True
2795.jpg,True
28029.jpg,True
28181.jpg,True
28203.jpg,True
28232.jpg,True
28260.jpg,False
2844.jpg,True
28598.jpg,True
28650.jpg,True
28791.jpg,True
28851.jpg,True
28908.jpg,True
28939.jpg,True
28953.jpg,True
28970.jpg,True
29023.jpg,True
29098.jpg,True
29184.jpg,True
2939.jpg,True
29512.jpg,True
29547.jpg,False
29575.jpg,True
29630.jpg,False
29732.jpg,True
29768.jpg,False
29814.jpg,False
299.jpg,True
29951.jpg,True
30113.jpg,True
30141.jpg,False
30252.jpg,True
30369.jpg,False
30405.jpg,True
30550.jpg,True
3063.jpg,True
30639.jpg,True
30773.jpg,True
30781.jpg,True
30828.jpg,True
30858.jpg,True
30928.jpg,True
31196.jpg,False
31205.jpg,True
31322.jpg,True
31368.jpg,True
31400.jpg,False
31604.jpg,True
3195.jpg,True
32056.jpg,True
32086.jpg,False
32120.jpg,True
32178.jpg,True
32260.jpg,True
32289.jpg,True
32332.jpg,True
32476.jpg,True
32525.jpg,True
32531.jpg,True
32546.jpg,False
32717.jpg,True
3286.jpg,True
32912.jpg,True
3292.jpg,True
32923.jpg,False
33004.jpg,True
33362.jpg,True
33383.jpg,True
33387.jpg,True
3347.jpg,True
33481.jpg,True
33543.jpg,False
33661.jpg,True
33764.jpg,False
33784.jpg,True
33847.jpg,True
33970.jpg,False
33974.jpg,True
34068.jpg,True
34073.jpg,True
34126.jpg,True
34207.jpg,False
34423.jpg,True
34593.jpg,True
34622.jpg,True
34687.jpg,True
34692.jpg,True
34780.jpg,True
34793.jpg,False
34947.jpg,True
34948.jpg,True
34958.jpg,True
35015.jpg,True
3516.jpg,True
35296.jpg,True
35312.jpg,False
35391.jpg,True
35406.jpg,True
35409.jpg,True
3561.jpg,True
35786.jpg,True
35841.jpg,True
3626.jpg,True
3758.jpg,True
3865.jpg,True
388.jpg,True
4078.jpg,True
4088.jpg,False
416.jpg,True
4448.jpg,False
4537.jpg,True
4587.jpg,True
4706.jpg,True
473.jpg,True
4805.jpg,True
4882.jpg,True
4889.jpg,False
4897.jpg,False
4908.jpg,True
4969.jpg,True
5168.jpg,True
5197.jpg,True
5203.jpg,False
5328.jpg,True
5335.jpg,True
5377.jpg,True
5667.jpg,True
5692.jpg,False
5785.jpg,False
5830.jpg,True
5958.jpg,True
5964.jpg,False
6145.jpg,False
6177.jpg,True
6229.jpg,False
6331.jpg,True
6342.jpg,True
6422.jpg,True
6454.jpg,True
6488.jpg,True
6548.jpg,False
6562.jpg,False
6638.jpg,True
6780.jpg,True
6867.jpg,True
6878.jpg,False
7049.jpg,True
7108.jpg,True
7143.jpg,True
7313.jpg,False
7386.jpg,True
7468.jpg,True
7503.jpg,True
758.jpg,True
7597.jpg,True
7704.jpg,True
7733.jpg,True
7837.jpg,False
8155.jpg,True
8218.jpg,True
826.jpg,False
8315.jpg,True
8353.jpg,True
8379.jpg,True
8416.jpg,True
845.jpg,True
8509.jpg,True
8512.jpg,True
8573.jpg,True
8628.jpg,True
864.jpg,False
8675.jpg,False
8692.jpg,True
8823.jpg,False
8877.jpg,False
9023.jpg,True
9090.jpg,True
9145.jpg,True
9159.jpg,True
9189.jpg,True
9204.jpg,True
9343.jpg,True
9366.jpg,True
9464.jpg,True
9472.jpg,False
9612.jpg,True
9654.jpg,True
9679.jpg,False
9695.jpg,True
9716.jpg,True
9733.jpg,True
9738.jpg,True
9844.jpg,False
9913.jpg,True
