file_name,value
100.jpg,True
10000.jpg,True
10001.jpg,True
10005.jpg,True
10035.jpg,True
10039.jpg,True
1004.jpg,False
10042.jpg,True
10046.jpg,True
10050.jpg,True
1006.jpg,False
10060.jpg,False
10066.jpg,True
10071.jpg,True
10083.jpg,True
10092.jpg,True
10094.jpg,False
10098.jpg,True
10102.jpg,False
10104.jpg,False
10111.jpg,True
1012.jpg,False
10120.jpg,True
10124.jpg,True
10135.jpg,True
10139.jpg,True
1014.jpg,True
10140.jpg,True
10145.jpg,True
10146.jpg,True
10151.jpg,True
10153.jpg,True
10156.jpg,True
10157.jpg,True
10159.jpg,True
10160.jpg,False
10161.jpg,True
10166.jpg,True
10168.jpg,True
1017.jpg,True
10182.jpg,True
10186.jpg,True
10187.jpg,True
10193.jpg,False
10194.jpg,True
10198.jpg,True
10199.jpg,True
10203.jpg,True
10224.jpg,False
10228.jpg,False
10229.jpg,True
1023.jpg,True
10231.jpg,False
10235.jpg,False
10243.jpg,True
10258.jpg,False
10270.jpg,True
10272.jpg,False
10277.jpg,True
10280.jpg,True
10283.jpg,False
10284.jpg,True
1029.jpg,True
10290.jpg,True
10291.jpg,True
10295.jpg,True
10297.jpg,True
10298.jpg,True
103.jpg,True
10307.jpg,True
10314.jpg,True
10318.jpg,False
1032.jpg,False
10327.jpg,False
10331.jpg,True
10341.jpg,True
10343.jpg,True
10345.jpg,False
10347.jpg,True
10351.jpg,False
10366.jpg,True
10368.jpg,True
10376.jpg,True
1038.jpg,True
10387.jpg,True
10398.jpg,True
10400.jpg,True
10418.jpg,True
10422.jpg,False
10424.jpg,True
10427.jpg,False
10428.jpg,True
10436.jpg,True
10438.jpg,True
1044.jpg,False
10447.jpg,True
10449.jpg,True
1046.jpg,True
10464.jpg,True
10465.jpg,True
10469.jpg,True
1047.jpg,True
10471.jpg,True
10477.jpg,False
10478.jpg,True
1048.jpg,True
10481.jpg,True
10483.jpg,True
10485.jpg,True
1049.jpg,True
10492.jpg,False
105.jpg,True
10502.jpg,False
10506.jpg,True
10509.jpg,True
10514.jpg,True
1052.jpg,False
10525.jpg,True
1053.jpg,True
10537.jpg,True
10542.jpg,True
10543.jpg,True
10550.jpg,True
10555.jpg,True
1057.jpg,True
10570.jpg,True
10574.jpg,True
10578.jpg,True
10587.jpg,True
10590.jpg,True
10594.jpg,True
10597.jpg,True
10599.jpg,True
10601.jpg,True
10608.jpg,True
10609.jpg,True
10610.jpg,True
10615.jpg,True
10617.jpg,False
10621.jpg,True
10629.jpg,True
10635.jpg,True
10639.jpg,True
10641.jpg,True
1065.jpg,True
10652.jpg,True
10660.jpg,True
10678.jpg,True
10680.jpg,True
10681.jpg,True
10685.jpg,False
10690.jpg,True
10691.jpg,True
10697.jpg,True
10707.jpg,True
10708.jpg,True
1072.jpg,False
10722.jpg,True
10724.jpg,True
10727.jpg,True
10728.jpg,False
10730.jpg,True
10733.jpg,True
10735.jpg,False
10739.jpg,False
10752.jpg,True
10759.jpg,True
1076.jpg,True
10763.jpg,False
10764.jpg,True
10766.jpg,False
1077.jpg,True
10772.jpg,True
10782.jpg,True
10783.jpg,False
10784.jpg,False
10789.jpg,True
10791.jpg,True
10796.jpg,True
10807.jpg,True
10809.jpg,True
1082.jpg,True
10826.jpg,False
1083.jpg,False
10838.jpg,False
1085.jpg,True
10850.jpg,True
10852.jpg,True
10856.jpg,True
10864.jpg,True
10870.jpg,True
10872.jpg,True
10876.jpg,True
10877.jpg,True
1088.jpg,True
10880.jpg,True
10885.jpg,True
10891.jpg,False
10895.jpg,True
109.jpg,False
10911.jpg,True
10914.jpg,True
10917.jpg,False
10920.jpg,True
10921.jpg,True
10927.jpg,True
10929.jpg,True
10930.jpg,False
1095.jpg,True
10960.jpg,True
1097.jpg,False
10972.jpg,False
10974.jpg,True
1099.jpg,False
10990.jpg,True
10996.jpg,False
10997.jpg,True
11006.jpg,True
11007.jpg,True
1103.jpg,True
11033.jpg,True
11035.jpg,True
11041.jpg,True
11046.jpg,False
11056.jpg,True
11058.jpg,True
11059.jpg,True
11066.jpg,True
11067.jpg,True
11076.jpg,True
11077.jpg,True
11078.jpg,False
11079.jpg,True
11080.jpg,True
11081.jpg,False
11091.jpg,True
11092.jpg,True
111.jpg,True
11114.jpg,True
11120.jpg,True
11121.jpg,True
11122.jpg,True
11127.jpg,True
11129.jpg,False
1113.jpg,True
11133.jpg,True
11134.jpg,False
11142.jpg,True
11144.jpg,True
11162.jpg,True
11164.jpg,True
11166.jpg,True
1117.jpg,False
11172.jpg,True
11177.jpg,True
11191.jpg,True
11193.jpg,True
11204.jpg,True
11207.jpg,True
11210.jpg,False
11212.jpg,False
11221.jpg,True
11225.jpg,True
11227.jpg,True
11230.jpg,True
11232.jpg,False
11237.jpg,True
11242.jpg,True
11244.jpg,False
11245.jpg,True
11253.jpg,True
11254.jpg,True
11260.jpg,False
11270.jpg,True
11272.jpg,False
11282.jpg,False
11285.jpg,True
11287.jpg,True
11299.jpg,True
11300.jpg,True
1131.jpg,True
11312.jpg,True
11332.jpg,True
11333.jpg,True
11334.jpg,True
11335.jpg,False
11336.jpg,True
11343.jpg,True
11350.jpg,True
11351.jpg,True
11356.jpg,False
11375.jpg,True
11382.jpg,True
11384.jpg,False
114.jpg,True
1140.jpg,True
11408.jpg,False
11409.jpg,True
11417.jpg,True
11422.jpg,True
11424.jpg,False
11428.jpg,True
11430.jpg,True
11436.jpg,False
11439.jpg,True
11444.jpg,True
11447.jpg,True
1146.jpg,True
11470.jpg,True
11473.jpg,True
11476.jpg,True
11477.jpg,True
11478.jpg,False
11486.jpg,True
11487.jpg,False
11489.jpg,True
1149.jpg,True
11492.jpg,True
11493.jpg,True
11494.jpg,True
11495.jpg,True
11501.jpg,True
11504.jpg,False
11507.jpg,False
1151.jpg,False
11515.jpg,True
11522.jpg,True
11526.jpg,False
11533.jpg,False
11538.jpg,True
11539.jpg,True
11543.jpg,True
11544.jpg,True
1155.jpg,True
11553.jpg,True
11554.jpg,True
11555.jpg,False
11562.jpg,True
11565.jpg,True
11566.jpg,True
11567.jpg,False
11583.jpg,True
11585.jpg,True
11596.jpg,True
11597.jpg,True
11616.jpg,True
11620.jpg,False
11621.jpg,False
11635.jpg,True
1164.jpg,True
11643.jpg,True
11648.jpg,True
11649.jpg,False
1165.jpg,True
11650.jpg,False
11666.jpg,True
1167.jpg,True
11681.jpg,False
11683.jpg,True
11685.jpg,True
11691.jpg,True
11695.jpg,True
11696.jpg,True
11697.jpg,True
11701.jpg,False
11702.jpg,True
11715.jpg,True
11720.jpg,True
11726.jpg,False
1174.jpg,False
11742.jpg,True
11743.jpg,True
11749.jpg,True
11750.jpg,True
11751.jpg,True
11761.jpg,False
11768.jpg,False
11775.jpg,False
11776.jpg,True
11791.jpg,True
11795.jpg,True
11797.jpg,True
11799.jpg,True
118.jpg,True
1180.jpg,True
11801.jpg,True
11802.jpg,True
11806.jpg,True
11807.jpg,False
11812.jpg,True
1182.jpg,True
11832.jpg,False
11833.jpg,True
11838.jpg,False
11840.jpg,True
11851.jpg,True
