file_name,value
1000.jpg,True
10003.jpg,True
10014.jpg,True
10017.jpg,False
1002.jpg,True
10021.jpg,True
10024.jpg,True
10026.jpg,True
10027.jpg,True
10030.jpg,True
10036.jpg,False
10041.jpg,True
10045.jpg,True
10051.jpg,True
10054.jpg,False
10058.jpg,True
10062.jpg,False
10077.jpg,True
10084.jpg,True
10085.jpg,True
10091.jpg,False
10093.jpg,True
10101.jpg,True
10109.jpg,True
10110.jpg,True
10113.jpg,True
10119.jpg,True
10129.jpg,True
10130.jpg,False
10136.jpg,False
10143.jpg,False
10173.jpg,True
10174.jpg,True
10175.jpg,False
10177.jpg,True
10180.jpg,True
10190.jpg,True
10195.jpg,True
10197.jpg,True
102.jpg,True
10200.jpg,True
10204.jpg,True
10206.jpg,False
1021.jpg,True
10216.jpg,True
10217.jpg,True
10219.jpg,False
10221.jpg,True
10222.jpg,True
10233.jpg,True
10234.jpg,False
10239.jpg,True
10254.jpg,False
10264.jpg,True
10271.jpg,True
10274.jpg,False
10294.jpg,True
10296.jpg,True
10301.jpg,False
10304.jpg,False
10309.jpg,True
10320.jpg,False
10322.jpg,True
10323.jpg,True
10340.jpg,True
10349.jpg,True
10354.jpg,True
10361.jpg,True
1037.jpg,False
10380.jpg,True
10381.jpg,True
10390.jpg,False
10393.jpg,False
10403.jpg,True
10404.jpg,True
10421.jpg,True
10457.jpg,True
10466.jpg,True
10474.jpg,True
10479.jpg,True
10484.jpg,True
10496.jpg,True
10499.jpg,True
10500.jpg,True
10501.jpg,True
10503.jpg,True
10504.jpg,True
10516.jpg,True
10522.jpg,True
10523.jpg,True
10526.jpg,True
10529.jpg,True
10536.jpg,True
10539.jpg,False
1054.jpg,False
10562.jpg,True
10567.jpg,True
10569.jpg,False
10584.jpg,True
10586.jpg,True
10596.jpg,True
10598.jpg,True
1060.jpg,True
10600.jpg,True
10612.jpg,True
1062.jpg,True
10630.jpg,False
10636.jpg,True
10654.jpg,False
10664.jpg,True
10674.jpg,False
1068.jpg,True
10684.jpg,True
10689.jpg,True
10696.jpg,True
10704.jpg,True
10706.jpg,True
10709.jpg,True
10712.jpg,True
10717.jpg,True
10719.jpg,True
10721.jpg,False
10725.jpg,True
10738.jpg,True
10742.jpg,False
10745.jpg,True
10748.jpg,False
10750.jpg,False
10775.jpg,False
10776.jpg,False
10777.jpg,True
10778.jpg,True
10781.jpg,True
1080.jpg,True
10801.jpg,True
10804.jpg,False
10815.jpg,True
10816.jpg,True
10827.jpg,False
10830.jpg,True
10834.jpg,True
10836.jpg,True
10843.jpg,False
10846.jpg,True
10861.jpg,False
10862.jpg,True
10863.jpg,True
10887.jpg,True
10893.jpg,False
10897.jpg,False
10898.jpg,True
10899.jpg,True
10905.jpg,True
10912.jpg,False
10923.jpg,True
10936.jpg,True
10937.jpg,True
10943.jpg,True
10946.jpg,True
10948.jpg,True
10953.jpg,False
10969.jpg,False
10971.jpg,True
10998.jpg,True
11.jpg,True
11003.jpg,True
11013.jpg,True
11015.jpg,True
11020.jpg,True
11023.jpg,True
11029.jpg,True
11037.jpg,True
11045.jpg,False
11051.jpg,True
11064.jpg,False
11070.jpg,True
11082.jpg,True
11086.jpg,True
11087.jpg,True
11090.jpg,True
11097.jpg,False
1110.jpg,False
11106.jpg,True
11115.jpg,True
11123.jpg,True
11124.jpg,True
11135.jpg,True
1114.jpg,False
11141.jpg,False
11148.jpg,True
11157.jpg,True
11160.jpg,True
11161.jpg,True
11170.jpg,True
11171.jpg,False
11176.jpg,True
11189.jpg,False
1119.jpg,True
11194.jpg,True
11196.jpg,True
11203.jpg,True
11211.jpg,True
11216.jpg,True
11219.jpg,True
11224.jpg,True
11246.jpg,True
11248.jpg,True
11249.jpg,False
11252.jpg,True
11263.jpg,True
11275.jpg,True
11281.jpg,True
11283.jpg,True
11288.jpg,True
113.jpg,True
11304.jpg,True
11307.jpg,True
11308.jpg,True
11309.jpg,True
11314.jpg,True
11320.jpg,False
11321.jpg,False
11327.jpg,False
11354.jpg,False
1136.jpg,False
11368.jpg,True
11376.jpg,True
11378.jpg,True
11387.jpg,True
11397.jpg,True
11406.jpg,True
11427.jpg,True
11434.jpg,False
11437.jpg,False
11438.jpg,True
11440.jpg,True
11441.jpg,True
11450.jpg,True
11452.jpg,False
11453.jpg,False
11455.jpg,True
11456.jpg,True
11463.jpg,True
11469.jpg,True
11479.jpg,True
11483.jpg,True
11484.jpg,True
11485.jpg,True
11490.jpg,True
11498.jpg,True
11499.jpg,True
11505.jpg,False
11511.jpg,True
11513.jpg,False
11514.jpg,True
11525.jpg,True
11531.jpg,True
11532.jpg,False
11540.jpg,True
11541.jpg,True
11542.jpg,True
11563.jpg,True
11579.jpg,True
11580.jpg,True
11586.jpg,True
11598.jpg,True
11600.jpg,True
11609.jpg,True
1161.jpg,True
11618.jpg,False
11619.jpg,False
11624.jpg,True
11627.jpg,False
11629.jpg,True
11634.jpg,True
11638.jpg,True
11655.jpg,True
11659.jpg,True
11663.jpg,True
11665.jpg,True
11676.jpg,False
11680.jpg,False
11690.jpg,True
11698.jpg,True
11705.jpg,True
11711.jpg,True
11712.jpg,True
11713.jpg,True
11723.jpg,True
11724.jpg,False
11760.jpg,True
11771.jpg,True
11779.jpg,True
11780.jpg,False
11784.jpg,True
11788.jpg,True
11789.jpg,True
1179.jpg,True
11796.jpg,True
11798.jpg,False
11809.jpg,True
1183.jpg,True
11844.jpg,True
11846.jpg,False
11856.jpg,False
11860.jpg,True
11864.jpg,True
11878.jpg,True
11879.jpg,False
11894.jpg,True
11899.jpg,True
11901.jpg,True
11919.jpg,False
11925.jpg,True
11930.jpg,True
11936.jpg,False
11938.jpg,False
11941.jpg,True
11946.jpg,True
1195.jpg,True
11951.jpg,True
11958.jpg,True
11963.jpg,True
11970.jpg,True
11983.jpg,True
11985.jpg,False
1199.jpg,True
11993.jpg,False
11997.jpg,True
12.jpg,False
12009.jpg,False
12012.jpg,True
12013.jpg,False
12014.jpg,True
12015.jpg,True
12017.jpg,True
12021.jpg,False
12023.jpg,True
12038.jpg,True
12043.jpg,False
12045.jpg,True
12062.jpg,False
12064.jpg,True
12068.jpg,True
12069.jpg,False
12076.jpg,True
12079.jpg,True
12084.jpg,True
12087.jpg,True
12097.jpg,True
12099.jpg,False
12109.jpg,True
12123.jpg,True
12143.jpg,True
12145.jpg,True
12149.jpg,True
12151.jpg,False
12159.jpg,True
12161.jpg,True
12165.jpg,False
12168.jpg,True
12169.jpg,True
12175.jpg,True
1218.jpg,True
12180.jpg,True
12184.jpg,True
12186.jpg,True
12194.jpg,True
12199.jpg,True
12214.jpg,True
12225.jpg,False
12227.jpg,True
12229.jpg,True
12233.jpg,True
12242.jpg,True
12247.jpg,True
12250.jpg,True
12251.jpg,True
12256.jpg,True
12265.jpg,True
12266.jpg,True
12274.jpg,True
12288.jpg,True
1230.jpg,True
12302.jpg,True
12308.jpg,True
12315.jpg,True
12325.jpg,True
12326.jpg,False
12347.jpg,True
1236.jpg,True
12390.jpg,True
12391.jpg,True
12394.jpg,False
12395.jpg,True
12408.jpg,False
12411.jpg,False
12414.jpg,True
12416.jpg,True
12420.jpg,True
12422.jpg,True
12434.jpg,True
12436.jpg,True
12445.jpg,True
12446.jpg,True
12448.jpg,False
1245.jpg,True
12460.jpg,True
12465.jpg,False
12468.jpg,False
12477.jpg,True
12482.jpg,True
12506.jpg,False
12507.jpg,True
1251.jpg,True
12515.jpg,True
12516.jpg,True
12531.jpg,False
12535.jpg,True
12549.jpg,False
12555.jpg,True
12559.jpg,False
1256.jpg,True
12565.jpg,True
12576.jpg,True
12577.jpg,True
1259.jpg,True
12602.jpg,False
12606.jpg,True
12608.jpg,True
12618.jpg,False
12628.jpg,False
12632.jpg,False
12637.jpg,True
12640.jpg,True
12642.jpg,True
12646.jpg,True
12649.jpg,True
12650.jpg,True
12651.jpg,True
12652.jpg,False
12655.jpg,True
12656.jpg,False
12665.jpg,False
12670.jpg,True
12678.jpg,False
12682.jpg,True
12683.jpg,True
12687.jpg,True
12701.jpg,False
1271.jpg,True
12716.jpg,False
12718.jpg,True
12720.jpg,True
12724.jpg,False
12731.jpg,True
12736.jpg,True
12738.jpg,True
12740.jpg,True
12754.jpg,True
12765.jpg,False
12767.jpg,True
1277.jpg,True
12774.jpg,False
12777.jpg,False
12785.jpg,True
1279.jpg,False
12793.jpg,False
12796.jpg,True
1280.jpg,True
12806.jpg,True
12815.jpg,True
12816.jpg,True
12819.jpg,False
12831.jpg,False
12832.jpg,True
1284.jpg,False
12848.jpg,False
12850.jpg,True
1286.jpg,True
12862.jpg,True
12866.jpg,False
12872.jpg,False
12873.jpg,False
12882.jpg,True
12883.jpg,False
12888.jpg,True
12897.jpg,True
1290.jpg,False
12910.jpg,True
12913.jpg,True
1292.jpg,True
12922.jpg,True
12925.jpg,True
12927.jpg,True
12938.jpg,True
1296.jpg,True
12961.jpg,True
12963.jpg,True
12991.jpg,False
12992.jpg,False
12993.jpg,True
12996.jpg,True
12998.jpg,False
12999.jpg,True
13.jpg,True
13003.jpg,True
13006.jpg,False
13010.jpg,True
13017.jpg,False
13020.jpg,True
1303.jpg,False
13034.jpg,True
13039.jpg,True
1304.jpg,True
13043.jpg,True
13046.jpg,True
13050.jpg,False
1306.jpg,False
13079.jpg,True
13081.jpg,False
13083.jpg,False
13088.jpg,True
13099.jpg,True
13116.jpg,True
13119.jpg,True
13123.jpg,True
13126.jpg,True
13132.jpg,True
13136.jpg,False
13140.jpg,True
13154.jpg,False
13157.jpg,True
13172.jpg,True
13174.jpg,False
13191.jpg,True
13209.jpg,False
13211.jpg,True
13213.jpg,True
13215.jpg,True
13218.jpg,True
13221.jpg,True
13225.jpg,True
1323.jpg,True
13231.jpg,True
1324.jpg,True
13240.jpg,True
13254.jpg,True
13255.jpg,True
13259.jpg,True
13262.jpg,True
13275.jpg,True
13282.jpg,True
13290.jpg,True
13291.jpg,True
13302.jpg,True
13315.jpg,False
13320.jpg,False
13321.jpg,True
13323.jpg,True
13325.jpg,True
13327.jpg,True
13329.jpg,True
1333.jpg,True
13335.jpg,True
13336.jpg,False
