file_name,value
10006.jpg,True
10008.jpg,True
1001.jpg,False
10020.jpg,True
10028.jpg,False
10034.jpg,False
10049.jpg,True
1005.jpg,False
10059.jpg,False
10064.jpg,True
1007.jpg,True
10070.jpg,False
10078.jpg,True
10081.jpg,False
10089.jpg,False
1009.jpg,True
1010.jpg,False
10103.jpg,False
10108.jpg,False
1011.jpg,True
10127.jpg,False
10128.jpg,False
10132.jpg,False
10133.jpg,True
10164.jpg,False
10165.jpg,False
10179.jpg,True
10188.jpg,False
1019.jpg,True
10225.jpg,True
10245.jpg,False
10255.jpg,True
10275.jpg,True
10289.jpg,True
10293.jpg,True
1030.jpg,True
10305.jpg,True
10308.jpg,False
1031.jpg,True
10311.jpg,True
10313.jpg,False
10321.jpg,True
10332.jpg,True
10334.jpg,True
1035.jpg,True
10353.jpg,True
10358.jpg,False
10379.jpg,True
10389.jpg,True
104.jpg,True
10405.jpg,False
10407.jpg,False
1041.jpg,False
10412.jpg,True
10416.jpg,True
10419.jpg,True
10450.jpg,False
10452.jpg,True
10453.jpg,False
10454.jpg,False
10461.jpg,False
10482.jpg,True
10487.jpg,False
10488.jpg,True
10494.jpg,False
10495.jpg,False
10498.jpg,True
10513.jpg,False
10515.jpg,True
10519.jpg,False
10520.jpg,False
10531.jpg,False
10546.jpg,True
10547.jpg,True
1055.jpg,True
10553.jpg,False
10558.jpg,True
10559.jpg,True
10560.jpg,True
10565.jpg,True
10577.jpg,True
10581.jpg,True
10588.jpg,False
10589.jpg,False
10613.jpg,True
10618.jpg,True
10631.jpg,False
10632.jpg,True
10637.jpg,True
10642.jpg,True
10645.jpg,True
10648.jpg,False
10650.jpg,True
10657.jpg,False
10658.jpg,True
10659.jpg,False
10663.jpg,False
10665.jpg,True
10669.jpg,False
1067.jpg,True
10670.jpg,False
10671.jpg,False
10675.jpg,True
10679.jpg,True
10688.jpg,False
1069.jpg,True
10711.jpg,False
10720.jpg,False
10737.jpg,False
10753.jpg,True
10754.jpg,True
10757.jpg,False
10765.jpg,True
10767.jpg,True
10780.jpg,False
10793.jpg,False
10794.jpg,False
10795.jpg,True
10798.jpg,True
10803.jpg,False
10806.jpg,True
10808.jpg,False
10817.jpg,False
10828.jpg,True
10829.jpg,False
10840.jpg,True
10842.jpg,True
10844.jpg,True
10848.jpg,True
10858.jpg,True
10859.jpg,True
10860.jpg,True
10865.jpg,True
10878.jpg,False
10888.jpg,True
10892.jpg,False
10901.jpg,False
1091.jpg,True
10910.jpg,False
10922.jpg,True
10924.jpg,False
10940.jpg,True
10945.jpg,True
10949.jpg,False
10952.jpg,False
10962.jpg,False
10980.jpg,True
10983.jpg,True
10985.jpg,False
10986.jpg,True
10995.jpg,True
10999.jpg,False
11010.jpg,False
11012.jpg,True
11021.jpg,True
11040.jpg,True
11048.jpg,True
11049.jpg,True
11050.jpg,False
11062.jpg,False
11063.jpg,True
11068.jpg,False
11069.jpg,True
11071.jpg,True
11072.jpg,False
11073.jpg,True
11074.jpg,True
11085.jpg,True
11088.jpg,True
11101.jpg,False
11103.jpg,True
11110.jpg,True
11116.jpg,False
1112.jpg,True
11128.jpg,False
11131.jpg,True
11136.jpg,True
11145.jpg,False
11147.jpg,False
11149.jpg,False
11152.jpg,False
11154.jpg,False
11156.jpg,False
11159.jpg,False
11175.jpg,False
11178.jpg,False
11182.jpg,False
11183.jpg,True
11187.jpg,True
11197.jpg,True
11198.jpg,True
11217.jpg,True
11238.jpg,True
11239.jpg,True
11240.jpg,False
1125.jpg,True
11256.jpg,True
11259.jpg,True
11273.jpg,True
11276.jpg,True
1129.jpg,True
11290.jpg,True
11291.jpg,True
11292.jpg,False
11293.jpg,False
11298.jpg,True
11303.jpg,True
11306.jpg,True
11313.jpg,True
11318.jpg,True
11322.jpg,True
11323.jpg,False
11326.jpg,True
11330.jpg,False
11331.jpg,True
1134.jpg,False
11340.jpg,False
11347.jpg,True
11348.jpg,True
11352.jpg,True
11355.jpg,False
11357.jpg,False
11359.jpg,False
11361.jpg,True
11363.jpg,False
11365.jpg,False
11367.jpg,True
11369.jpg,True
1138.jpg,False
11380.jpg,True
11388.jpg,False
1139.jpg,True
11391.jpg,True
11399.jpg,True
11401.jpg,False
11402.jpg,False
11415.jpg,True
11419.jpg,True
11425.jpg,False
11435.jpg,False
1144.jpg,True
11445.jpg,False
11454.jpg,True
11481.jpg,True
11482.jpg,True
11502.jpg,False
11509.jpg,False
11510.jpg,False
11520.jpg,True
11528.jpg,True
1153.jpg,True
11546.jpg,False
11564.jpg,False
11570.jpg,True
11591.jpg,True
11592.jpg,True
11595.jpg,True
116.jpg,True
11608.jpg,False
11611.jpg,True
11625.jpg,False
11652.jpg,False
11657.jpg,True
11664.jpg,True
11671.jpg,True
11672.jpg,False
11673.jpg,True
11679.jpg,False
11693.jpg,True
11699.jpg,False
11700.jpg,False
11703.jpg,True
11710.jpg,False
11719.jpg,True
11739.jpg,True
1175.jpg,False
11752.jpg,False
11753.jpg,True
11777.jpg,True
11778.jpg,True
11787.jpg,True
11792.jpg,True
11800.jpg,False
11803.jpg,True
11815.jpg,False
11817.jpg,False
11821.jpg,True
11822.jpg,False
11826.jpg,False
11827.jpg,True
11839.jpg,True
1184.jpg,True
11852.jpg,True
11853.jpg,True
11854.jpg,True
1188.jpg,False
11881.jpg,False
11886.jpg,True
11900.jpg,False
1191.jpg,True
11924.jpg,True
11931.jpg,True
11933.jpg,True
11935.jpg,True
11937.jpg,True
11939.jpg,True
11940.jpg,False
11943.jpg,True
11945.jpg,True
11948.jpg,False
11950.jpg,True
11953.jpg,True
11974.jpg,True
11994.jpg,False
11996.jpg,True
12001.jpg,True
12006.jpg,True
12030.jpg,False
12033.jpg,True
12035.jpg,False
12039.jpg,True
12041.jpg,False
12050.jpg,True
12053.jpg,True
12057.jpg,True
12061.jpg,False
1207.jpg,True
12070.jpg,True
12071.jpg,False
12077.jpg,True
1208.jpg,False
12083.jpg,True
12094.jpg,True
12108.jpg,False
12121.jpg,False
12126.jpg,True
12128.jpg,True
12130.jpg,False
12132.jpg,True
12137.jpg,True
12138.jpg,True
12152.jpg,False
12157.jpg,True
12158.jpg,True
12177.jpg,True
12182.jpg,False
12185.jpg,True
12187.jpg,True
12193.jpg,False
12197.jpg,False
12212.jpg,True
12217.jpg,False
12220.jpg,True
12228.jpg,True
1223.jpg,False
12234.jpg,True
12238.jpg,False
12248.jpg,True
12252.jpg,True
12260.jpg,True
12261.jpg,False
12269.jpg,True
12271.jpg,False
12277.jpg,True
1229.jpg,False
12290.jpg,True
12292.jpg,False
12295.jpg,True
12296.jpg,True
12301.jpg,True
12305.jpg,False
12324.jpg,False
12331.jpg,True
12333.jpg,False
12336.jpg,True
1234.jpg,True
12345.jpg,False
12348.jpg,True
12354.jpg,False
12369.jpg,True
12372.jpg,False
12378.jpg,True
12380.jpg,True
12389.jpg,False
12393.jpg,True
12396.jpg,True
12401.jpg,True
12427.jpg,False
1243.jpg,False
12435.jpg,False
12437.jpg,False
12444.jpg,True
12447.jpg,False
12449.jpg,True
12462.jpg,True
1247.jpg,True
12488.jpg,True
12501.jpg,True
12502.jpg,True
12518.jpg,True
12521.jpg,True
12534.jpg,True
12546.jpg,True
12550.jpg,True
12554.jpg,False
12558.jpg,False
12563.jpg,False
12570.jpg,True
12571.jpg,True
12582.jpg,False
12593.jpg,True
12597.jpg,True
12599.jpg,True
12615.jpg,True
12617.jpg,True
12629.jpg,False
1263.jpg,False
12658.jpg,True
12660.jpg,False
12663.jpg,True
12686.jpg,False
12694.jpg,False
127.jpg,True
12700.jpg,False
12711.jpg,False
12715.jpg,False
12726.jpg,False
12728.jpg,False
12730.jpg,False
12744.jpg,True
12755.jpg,False
12757.jpg,True
12759.jpg,True
1276.jpg,False
12760.jpg,False
12762.jpg,False
12766.jpg,True
12775.jpg,False
12786.jpg,False
12799.jpg,False
12800.jpg,False
12803.jpg,True
1281.jpg,True
12812.jpg,False
12822.jpg,False
12823.jpg,False
12835.jpg,False
12836.jpg,True
12837.jpg,False
12840.jpg,False
12843.jpg,False
12847.jpg,True
12849.jpg,True
12856.jpg,True
12864.jpg,False
12868.jpg,True
1287.jpg,False
12878.jpg,False
12894.jpg,False
12919.jpg,True
12921.jpg,True
12923.jpg,False
1293.jpg,False
12931.jpg,False
1294.jpg,False
12940.jpg,False
12943.jpg,False
12944.jpg,False
12946.jpg,False
12949.jpg,False
12950.jpg,False
12952.jpg,True
12959.jpg,False
12964.jpg,True
12967.jpg,False
12981.jpg,True
130.jpg,True
13002.jpg,False
13011.jpg,False
13016.jpg,False
13021.jpg,False
13025.jpg,False
13030.jpg,False
13032.jpg,True
13048.jpg,False
13052.jpg,False
13058.jpg,True
13064.jpg,False
13065.jpg,False
13066.jpg,True
1307.jpg,True
13084.jpg,True
13085.jpg,True
13093.jpg,True
13098.jpg,False
13106.jpg,True
13111.jpg,True
13115.jpg,True
1312.jpg,True
13129.jpg,True
13133.jpg,True
13137.jpg,False
13138.jpg,False
1314.jpg,True
13142.jpg,True
13147.jpg,True
1315.jpg,False
13153.jpg,True
13158.jpg,False
13175.jpg,True
13178.jpg,False
13181.jpg,True
13183.jpg,True
13186.jpg,True
13193.jpg,False
13196.jpg,False
13198.jpg,False
13200.jpg,False
13217.jpg,False
13234.jpg,False
13243.jpg,True
13246.jpg,False
13249.jpg,False
13253.jpg,True
13264.jpg,False
13271.jpg,False
13276.jpg,False
13277.jpg,True
13289.jpg,True
1329.jpg,True
13295.jpg,False
13299.jpg,False
13305.jpg,False
1331.jpg,True
13319.jpg,False
13332.jpg,False
13333.jpg,True
13341.jpg,True
13344.jpg,True
13357.jpg,False
13368.jpg,True
1337.jpg,True
13370.jpg,False
13371.jpg,True
13373.jpg,False
13378.jpg,False
13381.jpg,False
13389.jpg,True
13390.jpg,False
13401.jpg,True
13404.jpg,False
13406.jpg,False
13429.jpg,False
13432.jpg,True
13444.jpg,True
13446.jpg,True
13448.jpg,True
13457.jpg,True
13466.jpg,True
13471.jpg,True
13472.jpg,False
13477.jpg,True
13479.jpg,True
1348.jpg,True
13484.jpg,True
13487.jpg,True
13489.jpg,False
13490.jpg,True
13491.jpg,True
13494.jpg,False
13525.jpg,False
13540.jpg,False
13545.jpg,False
13548.jpg,True
1356.jpg,True
13571.jpg,False
13578.jpg,True
13583.jpg,False
13592.jpg,True
13594.jpg,True
13595.jpg,True
13600.jpg,False
1361.jpg,True
13613.jpg,True
13614.jpg,False
1362.jpg,False
13625.jpg,True
13627.jpg,True
13628.jpg,True
13630.jpg,True
13639.jpg,False
13643.jpg,False
13656.jpg,False
13657.jpg,False
13674.jpg,False
13679.jpg,True
13681.jpg,False
13688.jpg,True
13697.jpg,False
13702.jpg,False
13704.jpg,False
13707.jpg,False
13711.jpg,True
13716.jpg,True
13723.jpg,False
13743.jpg,False
13750.jpg,True
13751.jpg,False
13755.jpg,False
13764.jpg,True
13769.jpg,False
13772.jpg,False
13773.jpg,False
13776.jpg,True
13777.jpg,False
13779.jpg,False
13789.jpg,False
13813.jpg,True
13818.jpg,False
1382.jpg,True
13839.jpg,False
13846.jpg,False
13850.jpg,True
13851.jpg,True
13854.jpg,False
13873.jpg,True
13875.jpg,True
13880.jpg,True
13883.jpg,True
13906.jpg,False
1391.jpg,True
13920.jpg,True
13938.jpg,True
13947.jpg,True
13953.jpg,True
13984.jpg,True
13986.jpg,False
14005.jpg,True
14007.jpg,False
14012.jpg,True
14014.jpg,False
14032.jpg,True
14034.jpg,False
14036.jpg,True
14043.jpg,False
14049.jpg,False
1405.jpg,False
14053.jpg,True
14069.jpg,False
14072.jpg,True
14076.jpg,True
14077.jpg,True
14078.jpg,True
1408.jpg,True
14084.jpg,True
14097.jpg,True
14102.jpg,False
14103.jpg,True
14130.jpg,True
14131.jpg,False
14134.jpg,True
14145.jpg,True
14149.jpg,False
14157.jpg,False
14161.jpg,True
14162.jpg,False
14173.jpg,False
14191.jpg,False
14193.jpg,False
14194.jpg,False
14197.jpg,True
14198.jpg,False
14212.jpg,True
14218.jpg,False
14222.jpg,True
14227.jpg,False
14252.jpg,True
14271.jpg,True
14273.jpg,False
14277.jpg,True
14280.jpg,True
14281.jpg,True
14291.jpg,True
14303.jpg,True
14307.jpg,True
14317.jpg,False
14321.jpg,False
14323.jpg,False
14328.jpg,True
14330.jpg,True
14332.jpg,False
14336.jpg,True
14343.jpg,True
14347.jpg,False
14350.jpg,True
14361.jpg,False
14364.jpg,True
14372.jpg,True
14374.jpg,True
14390.jpg,False
14391.jpg,True
14392.jpg,False
14394.jpg,True
14408.jpg,False
14411.jpg,True
14428.jpg,False
14447.jpg,True
1446.jpg,True
14461.jpg,True
14465.jpg,False
14477.jpg,False
14488.jpg,True
14497.jpg,False
14499.jpg,True
14500.jpg,True
14502.jpg,True
14507.jpg,False
14519.jpg,True
1452.jpg,False
14523.jpg,False
14527.jpg,True
14533.jpg,True
14545.jpg,True
14548.jpg,True
1455.jpg,True
14556.jpg,True
14560.jpg,True
14566.jpg,False
14569.jpg,True
14576.jpg,False
14577.jpg,False
14581.jpg,False
14584.jpg,True
146.jpg,True
14600.jpg,False
1461.jpg,True
14613.jpg,True
14628.jpg,True
1463.jpg,False
14631.jpg,True
14634.jpg,True
14644.jpg,True
14649.jpg,False
14654.jpg,True
14655.jpg,False
14656.jpg,False
14674.jpg,False
14677.jpg,True
14693.jpg,True
14699.jpg,True
14702.jpg,False
14704.jpg,False
14718.jpg,False
1473.jpg,True
14731.jpg,False
14740.jpg,False
14743.jpg,True
14761.jpg,False
14762.jpg,True
14769.jpg,True
14782.jpg,True
14785.jpg,True
14793.jpg,True
14794.jpg,True
14795.jpg,True
14800.jpg,True
14802.jpg,True
14804.jpg,True
14809.jpg,True
1481.jpg,True
14813.jpg,False
14816.jpg,True
14823.jpg,True
14830.jpg,True
14839.jpg,False
14843.jpg,True
14853.jpg,False
14857.jpg,False
1486.jpg,True
14868.jpg,False
14872.jpg,True
14879.jpg,True
14880.jpg,False
14883.jpg,True
14884.jpg,True
14896.jpg,True
14897.jpg,True
14898.jpg,False
14899.jpg,True
14906.jpg,False
1494.jpg,False
14940.jpg,True
14950.jpg,True
14953.jpg,False
14962.jpg,True
14975.jpg,True
14982.jpg,False
14999.jpg,True
15006.jpg,False
15009.jpg,False
15010.jpg,False
15024.jpg,True
15025.jpg,False
15026.jpg,False
15028.jpg,False
15061.jpg,False
15063.jpg,True
15066.jpg,True
15073.jpg,True
15082.jpg,True
15092.jpg,True
15094.jpg,True
15097.jpg,True
1510.jpg,True
15103.jpg,False
1511.jpg,False
15146.jpg,False
15158.jpg,False
15171.jpg,False
15177.jpg,True
15183.jpg,True
15187.jpg,False
15189.jpg,True
15196.jpg,True
15201.jpg,False
15203.jpg,True
1521.jpg,True
15219.jpg,False
15224.jpg,True
15228.jpg,False
15235.jpg,True
15236.jpg,False
15243.jpg,False
15249.jpg,False
15254.jpg,False
1526.jpg,False
15274.jpg,True
15275.jpg,False
15288.jpg,True
15307.jpg,True
1531.jpg,False
15311.jpg,True
15312.jpg,False
1532.jpg,True
15320.jpg,True
15326.jpg,False
15340.jpg,False
15346.jpg,True
15349.jpg,True
15355.jpg,False
15371.jpg,True
154.jpg,False
15407.jpg,False
15411.jpg,True
15415.jpg,False
15428.jpg,True
15429.jpg,True
15439.jpg,False
15453.jpg,False
15458.jpg,True
15479.jpg,True
15488.jpg,False
15499.jpg,True
15509.jpg,False
15513.jpg,True
15522.jpg,True
15528.jpg,False
15551.jpg,True
15554.jpg,True
1557.jpg,True
15577.jpg,True
15587.jpg,True
1559.jpg,False
15597.jpg,False
15601.jpg,False
15603.jpg,False
15606.jpg,True
1561.jpg,True
15619.jpg,False
1562.jpg,False
1563.jpg,False
15630.jpg,True
15640.jpg,False
15643.jpg,False
15649.jpg,False
15655.jpg,False
15658.jpg,True
1566.jpg,False
15661.jpg,True
15669.jpg,True
15676.jpg,True
15687.jpg,False
15727.jpg,False
1573.jpg,False
15731.jpg,True
15732.jpg,False
15734.jpg,False
15737.jpg,False
15753.jpg,True
15757.jpg,True
15760.jpg,False
15784.jpg,True
15798.jpg,True
1580.jpg,False
15804.jpg,False
15806.jpg,True
15814.jpg,False
15815.jpg,False
15823.jpg,True
15831.jpg,False
15841.jpg,False
15845.jpg,False
15846.jpg,False
15858.jpg,True
15861.jpg,False
15868.jpg,True
15869.jpg,True
15875.jpg,True
15878.jpg,False
159.jpg,True
15900.jpg,True
15907.jpg,False
15913.jpg,False
15915.jpg,False
1592.jpg,False
15935.jpg,True
15940.jpg,True
15949.jpg,True
15951.jpg,False
15953.jpg,True
15961.jpg,True
15964.jpg,True
1598.jpg,False
15980.jpg,False
15996.jpg,True
16002.jpg,True
16013.jpg,True
1602.jpg,False
16022.jpg,True
16024.jpg,False
16031.jpg,False
16036.jpg,True
1604.jpg,True
16043.jpg,True
16046.jpg,True
16060.jpg,True
16063.jpg,False
16066.jpg,False
16069.jpg,True
1609.jpg,True
16111.jpg,True
1612.jpg,True
16136.jpg,True
16139.jpg,True
16146.jpg,True
16152.jpg,False
16153.jpg,True
16155.jpg,True
16164.jpg,True
16173.jpg,False
16174.jpg,False
16195.jpg,False
1620.jpg,True
16209.jpg,True
1621.jpg,False
16215.jpg,True
16223.jpg,True
16242.jpg,True
16245.jpg,True
16246.jpg,False
16249.jpg,True
16250.jpg,False
16258.jpg,True
1626.jpg,True
16260.jpg,False
16274.jpg,False
16278.jpg,True
16284.jpg,True
16288.jpg,True
16293.jpg,True
163.jpg,True
16306.jpg,False
16314.jpg,False
16315.jpg,True
16317.jpg,True
1633.jpg,False
1635.jpg,False
16356.jpg,False
16357.jpg,True
16366.jpg,True
16368.jpg,False
16383.jpg,True
16384.jpg,False
16408.jpg,False
1646.jpg,True
16465.jpg,True
16470.jpg,False
16479.jpg,True
1648.jpg,False
16480.jpg,True
16485.jpg,False
16487.jpg,True
16504.jpg,False
16515.jpg,True
16531.jpg,True
16537.jpg,True
16545.jpg,False
16549.jpg,True
16568.jpg,True
16579.jpg,False
