file_name,value
10007.jpg,True
10009.jpg,False
10011.jpg,True
10013.jpg,True
10061.jpg,True
10076.jpg,True
10080.jpg,False
10082.jpg,True
10087.jpg,True
10144.jpg,False
10184.jpg,True
10211.jpg,False
10213.jpg,False
10227.jpg,True
10232.jpg,True
10241.jpg,True
10249.jpg,False
10256.jpg,True
10260.jpg,True
10261.jpg,False
1028.jpg,True
10282.jpg,True
10288.jpg,False
10333.jpg,True
10337.jpg,False
10356.jpg,False
10357.jpg,False
10360.jpg,False
10374.jpg,True
10391.jpg,True
10392.jpg,False
10395.jpg,True
1040.jpg,True
10402.jpg,True
10408.jpg,True
10410.jpg,True
10411.jpg,True
10417.jpg,True
1042.jpg,True
1043.jpg,True
10446.jpg,True
10473.jpg,True
10491.jpg,True
1050.jpg,True
10505.jpg,True
10527.jpg,True
10530.jpg,False
10556.jpg,True
10566.jpg,True
10575.jpg,True
10576.jpg,False
10579.jpg,True
10580.jpg,False
10585.jpg,True
1059.jpg,True
10602.jpg,True
10627.jpg,True
10628.jpg,False
10643.jpg,True
10668.jpg,True
10672.jpg,True
1070.jpg,False
10700.jpg,False
10710.jpg,True
10723.jpg,True
10744.jpg,True
10751.jpg,True
10760.jpg,False
10762.jpg,True
10779.jpg,True
10788.jpg,False
1084.jpg,True
10847.jpg,True
10849.jpg,False
10853.jpg,False
10855.jpg,False
1087.jpg,True
10873.jpg,True
10883.jpg,False
10886.jpg,True
10932.jpg,True
10955.jpg,True
10957.jpg,False
10958.jpg,True
10963.jpg,True
10964.jpg,True
10966.jpg,True
10967.jpg,True
10977.jpg,True
10991.jpg,True
11016.jpg,False
11027.jpg,True
11047.jpg,True
11061.jpg,True
11089.jpg,True
1109.jpg,True
11094.jpg,True
11107.jpg,True
11111.jpg,True
11119.jpg,True
11125.jpg,True
11132.jpg,True
11179.jpg,True
11184.jpg,True
11199.jpg,True
1120.jpg,True
11201.jpg,True
11220.jpg,True
11247.jpg,True
11257.jpg,True
11261.jpg,False
11271.jpg,True
11279.jpg,False
11297.jpg,True
11311.jpg,False
1132.jpg,True
11324.jpg,True
11328.jpg,True
11339.jpg,True
11344.jpg,False
1135.jpg,False
11364.jpg,False
11366.jpg,True
11372.jpg,True
11374.jpg,True
11393.jpg,True
11404.jpg,True
11407.jpg,True
11433.jpg,True
11443.jpg,False
1145.jpg,True
11459.jpg,True
11496.jpg,True
11497.jpg,True
11506.jpg,True
11512.jpg,False
11519.jpg,True
11527.jpg,True
11556.jpg,True
11569.jpg,True
1157.jpg,True
11574.jpg,False
11576.jpg,True
11593.jpg,True
11605.jpg,True
11615.jpg,False
1162.jpg,True
11631.jpg,True
11633.jpg,True
11667.jpg,True
11668.jpg,True
11684.jpg,False
11692.jpg,False
11709.jpg,True
1172.jpg,False
11730.jpg,True
11734.jpg,True
11737.jpg,True
11740.jpg,False
11741.jpg,False
11757.jpg,False
11811.jpg,True
11824.jpg,True
11831.jpg,False
1185.jpg,True
11895.jpg,False
11896.jpg,False
11910.jpg,True
11911.jpg,True
11932.jpg,True
11969.jpg,True
11976.jpg,False
11979.jpg,True
11980.jpg,True
11987.jpg,False
12004.jpg,True
1201.jpg,True
12010.jpg,True
12018.jpg,True
12032.jpg,True
12046.jpg,True
12052.jpg,True
12056.jpg,True
12060.jpg,True
12080.jpg,True
12082.jpg,True
12093.jpg,True
12102.jpg,False
12127.jpg,True
12135.jpg,True
1214.jpg,False
12148.jpg,False
12176.jpg,True
12178.jpg,False
12195.jpg,True
12201.jpg,True
12219.jpg,False
12224.jpg,True
12226.jpg,True
1224.jpg,False
12253.jpg,True
12276.jpg,False
12285.jpg,True
12287.jpg,True
12299.jpg,True
1232.jpg,True
12330.jpg,True
12341.jpg,False
12342.jpg,False
12358.jpg,True
12368.jpg,True
12371.jpg,False
12373.jpg,True
12385.jpg,True
12409.jpg,False
12412.jpg,True
12425.jpg,True
12453.jpg,True
12454.jpg,True
12458.jpg,False
12461.jpg,True
12467.jpg,True
12473.jpg,True
12486.jpg,True
12490.jpg,True
12505.jpg,True
12513.jpg,True
12522.jpg,True
12523.jpg,False
12533.jpg,False
12536.jpg,True
12538.jpg,True
12541.jpg,True
12564.jpg,True
12587.jpg,False
12596.jpg,True
12605.jpg,True
12607.jpg,True
1261.jpg,True
12610.jpg,True
12624.jpg,False
12631.jpg,True
